Date,Open,High,Low,Close,Volume
2023-09-21,336.73,337.54,333.01,333.04,96328690
2023-09-22,329.9,332.59,329.11,332.02,87027919
2023-09-25,331.4,332.65,330.1,331.58,84400081
2023-09-26,331.51,331.56,326.63,326.9,90024892
2023-09-27,325.05,327.5,324.73,326.71,81602937
2023-10-04,322.61,322.61,318.88,319.45,149154628
2023-10-05,321.46,321.71,318.46,318.58,104522580
2023-10-06,319.27,320.67,318.44,318.94,87538952
2023-10-10,322.97,324.85,319.06,319.11,128817089
2023-10-11,323.96,327.26,323.95,324.74,119111539
2023-10-12,326.89,328.85,326.89,328.85,108819519
2023-10-13,326.11,327.33,325.43,325.77,91775351
2023-10-16,324.1,326.0,321.32,323.29,93097005
2023-10-17,325.7,328.26,325.01,327.35,88460757
2023-10-18,326.32,329.06,326.12,328.82,134130424
2023-10-19,324.75,325.08,322.4,322.76,115713978
2023-10-20,319.45,320.18,316.28,317.96,112714314
2023-10-23,317.43,318.3,315.09,315.5,89162326
2023-10-24,317.34,318.63,311.77,318.43,93256078
2023-10-25,319.26,319.59,316.3,316.49,91218212
2023-10-26,311.36,312.37,307.75,307.75,110774427
2023-10-27,309.68,310.43,307.24,308.53,92934386
2023-10-30,307.01,310.12,306.89,308.95,95847666
2023-10-31,310.49,311.58,305.14,305.56,121721241
2023-11-01,307.55,310.41,307.33,309.71,88982229
2023-11-02,314.59,316.51,314.12,315.16,112376415
2023-11-03,317.96,318.76,316.5,318.24,89968188
2023-11-06,322.62,334.16,321.57,334.16,174432379
2023-11-07,330.7,330.7,323.89,327.29,119879230
2023-11-08,329.44,330.42,323.36,324.0,89899157
2023-11-09,324.38,326.89,323.32,325.29,93287967
2023-11-10,322.78,324.18,321.26,323.75,65663861
2023-11-13,326.78,327.63,322.64,323.31,68729674
2023-11-14,326.12,327.8,325.8,326.57,75471066
2023-11-15,333.15,333.97,330.99,333.96,117057060
2023-11-16,333.52,334.9,332.16,334.31,80857258
2023-11-17,332.91,333.71,331.16,332.06,72719817
2023-11-20,331.3,335.56,331.05,334.23,73758382
2023-11-21,336.12,337.75,335.64,336.57,80861020
2023-11-22,334.08,337.56,333.46,336.81,72501098
2023-11-23,337.46,338.02,335.79,336.91,72835159
2023-11-24,337.26,337.88,334.0,334.0,73066193
2023-11-27,334.42,336.04,332.58,333.67,72979263
2023-11-28,335.15,337.65,334.49,337.52,97438609
2023-11-29,336.64,337.1,334.34,336.62,88757604
2023-11-30,335.61,338.43,334.9,338.43,169523748
2023-12-01,336.71,336.73,334.41,334.8,95304378
2023-12-04,337.2,337.76,335.63,336.14,90945516
2023-12-05,335.21,335.27,332.61,332.85,93825597
2023-12-06,334.3,335.47,333.45,333.45,86198053
2023-12-07,332.95,333.96,331.42,332.67,85653911
2023-12-08,335.33,337.27,334.91,336.6,72001115
2023-12-11,337.68,338.21,335.77,337.93,80191377
2023-12-12,339.42,340.69,338.81,339.77,96194555
2023-12-13,339.09,339.46,336.54,336.68,74854643
2023-12-14,341.97,342.68,339.39,341.33,156813582
2023-12-15,343.43,345.68,342.94,343.99,144476524
2023-12-18,344.36,344.51,342.23,343.5,126758084
2023-12-19,343.18,344.15,342.17,343.95,165174688
2023-12-20,346.67,350.4,346.22,350.11,213300194
2023-12-21,348.25,349.78,346.7,348.78,128068827
2023-12-22,351.68,352.33,349.15,349.15,114793346
2023-12-26,350.57,351.16,349.0,350.43,109353368
